1346,613,6
1317,584,7
1290,576,8
1292,659,9
1339,637,10
1311,602,11
1284,589,12
1266,673,13
1290,632,14
1263,597,15
1240,587,16
1238,677,17
1264,647,18
1263,619,19
1257,607,20
1179,615,0
1215,581,1
1266,560,2
1299,541,3
1326,524,4
1308,633,5
1346,612,6
1318,584,7
1289,575,8
1291,659,9
1338,636,10
1311,601,11
1284,589,12
1265,672,13
1289,629,14
1262,594,15
1240,584,16
1237,675,17
1262,642,18
1260,615,19
1253,604,20
1181,616,0
1218,582,1
1268,561,2
1300,540,3
1329,522,4
1310,635,5
1347,611,6
1320,583,7
1293,576,8
1291,660,9
1339,634,10
1314,599,11
1288,586,12
1265,672,13
1287,627,14
1263,592,15
1243,583,16
1237,674,17
1261,641,18
1259,615,19
1252,605,20
1184,616,0
1223,580,1
1272,558,2
1304,537,3
1331,518,4
1312,633,5
1349,611,6
1323,582,7
1298,574,8
1294,657,9
1342,631,10
1317,595,11
1292,584,12
1268,669,13
1293,625,14
1268,591,15
1246,583,16
1241,670,17
1266,636,18
1261,607,19
1249,596,20
1185,613,0
1222,578,1
1272,556,2
1305,535,3
1334,517,4
1313,633,5
1351,607,6
1325,578,7
1300,571,8
1295,656,9
1342,627,10
1318,592,11
1293,582,12
1269,667,13
1297,623,14
1273,588,15
1252,580,16
1242,667,17
1268,634,18
1262,606,19
1250,594,20
1189,610,0
1226,574,1
1274,552,2
1307,532,3
1335,513,4
1318,627,5
1355,603,6
1328,575,7
1303,568,8
1300,651,9
1347,623,10
1320,588,11
1294,579,12
1273,663,13
1297,618,14
1272,583,15
1251,575,16
1245,665,17
1269,633,18
1266,607,19
1257,597,20
1195,602,0
1230,569,1
1279,547,2
1311,527,3
1338,509,4
1323,624,5
1359,600,6
1331,571,7
1307,565,8
1304,648,9
1348,618,10
1320,583,11
1295,574,12
1277,660,13
1299,613,14
1274,579,15
1253,571,16
1248,661,17
1273,630,18
1275,607,19
1271,599,20
1200,597,0
1236,564,1
1283,542,2
1314,522,3
1342,503,4
1329,619,5
1361,595,6
1333,567,7
1310,562,8
1310,642,9
1347,608,10
1317,575,11
1293,568,12
1282,653,13
1301,607,14
1274,577,15
1252,570,16
1250,655,17
1277,631,18
1287,610,19
1292,599,20
1205,593,0
1239,560,1
